"sim_id" "eir" "access" "season" "seed" "model" "age" "nTreatments1" "nHost" "nPatent" "nUncomp" "nSevere" "expectedDirectDeaths" "expectedSevere" "expectedIndirectDeaths" "age_prev" "prevalence_2to10"
"e01a44z1s02m0000GP" 0.25 0.44 1 2 "0000GP" 1.5 31 1393.66666666667 38 61 3 0.2358899 1.9535183 0.31289564 0.00227218368811289 0.0024357103988344
"e01a44z1s02m0000GP" 0.25 0.44 1 2 "0000GP" 3.5 133 4027.16666666667 96 184 9 0.6006731 8.658163 0.4453136 0.0019865082978107 0.0024357103988344
"e01a44z1s02m0000GP" 0.25 0.44 1 2 "0000GP" 7.5 285 6280.16666666667 208 444 12 0.9757969 16.101405 0.4731624 0.00276001167697248 0.0024357103988344
"e01a44z1s02m0000GP" 0.25 0.44 1 2 "0000GP" 12.5 308 5723.41666666667 267 500 9 1.138594 13.460297 0.3069347 0.0038875380381765 0.0024357103988344
"e01a44z1s02m0000GP" 0.25 0.44 1 2 "0000GP" 17.5 348 5161.91666666667 302 573 18 2.658893 17.314233 0.2658991 0.00487545001049352 0.0024357103988344
"e01a44z1s02m0000GP" 0.25 0.44 1 2 "0000GP" 60 1867 25048 1975 3166 53 8.285904 46.43195 0.6972801 0.00657071755562653 0.0024357103988344
"e01a44z1s02m0000GPSG" 0.25 0.44 1 2 "0000GPSG" 0.25 0 1348 16 15 0 0 0.5708674 0.13775238 0.000989119683481701 0.00174256670054405
"e01a44z1s02m0000GPSG" 0.25 0.44 1 2 "0000GPSG" 0.75 10 768.666666666667 14 22 0 0 0.5601355 0.11469682 0.00151777970511709 0.00174256670054405
"e01a44z1s02m0000GPSG" 0.25 0.44 1 2 "0000GPSG" 1.5 14 1395 10 25 0 0 0.71719946 0.07794927 0.000597371565113501 0.00174256670054405
"e01a44z1s02m0000GPSG" 0.25 0.44 1 2 "0000GPSG" 3.5 77 4031.66666666667 68 115 12 0.6526159 5.885667 0.21593129 0.0014055394791236 0.00174256670054405
"e01a44z1s02m0000GPSG" 0.25 0.44 1 2 "0000GPSG" 7.5 171 6289.83333333333 167 283 8 0.5835074 13.006578 0.2230779 0.00221256525080156 0.00174256670054405
"e01a44z1s02m0000GPSG" 0.25 0.44 1 2 "0000GPSG" 12.5 251 5728 220 372 19 2.513714 16.184341 0.17831173 0.00320065176908752 0.00174256670054405
"e01a44z1s02m0000GPSG" 0.25 0.44 1 2 "0000GPSG" 17.5 229 5172.08333333333 260 390 15 2.152586 16.928279 0.13309407 0.00418915652944494 0.00174256670054405
"e01a44z1s02m0000GPSG" 0.25 0.44 1 2 "0000GPSG" 60 1270 25095.9166666667 1847 2143 60 9.403362 60.10994 0.3584949 0.00613313586871702 0.00174256670054405
"e01a44z1s03m0000GA" 0.25 0.44 1 3 "0000GA" 0.25 12 1347.25 42 33 0 0 1.4948265 0.29527668 0.00259788457969939 0.0101099884670546
"e01a44z1s03m0000GA" 0.25 0.44 1 3 "0000GA" 0.75 34 766.5 78 61 1 0.108587 2.537784 0.4105018 0.00848010437051533 0.0101099884670546
"e01a44z1s03m0000GA" 0.25 0.44 1 3 "0000GA" 1.5 68 1390.33333333333 125 137 4 0.3028247 4.174015 0.5299212 0.00749220810357228 0.0101099884670546
"e01a44z1s03m0000GA" 0.25 0.44 1 3 "0000GA" 3.5 311 4013.5 451 530 14 1.0088333 16.101546 0.9479917 0.00936422906025497 0.0101099884670546
"e01a44z1s03m0000GA" 0.25 0.44 1 3 "0000GA" 7.5 518 6259.5 839 951 22 1.8538841 19.4927 0.7858472 0.0111696887397822 0.0101099884670546
"e01a44z1s03m0000GA" 0.25 0.44 1 3 "0000GA" 12.5 706 5690.83333333333 1349 1352 25 4.120873 22.00379 0.6266435 0.0197539903353346 0.0101099884670546
"e01a44z1s03m0000GA" 0.25 0.44 1 3 "0000GA" 17.5 735 5129.91666666667 1465 1315 27 5.051893 17.93713 0.4427158 0.0237983073149336 0.0101099884670546
"e01a44z1s03m0000GA" 0.25 0.44 1 3 "0000GA" 60 3791 24888.3333333333 9915 7615 59 11.254886 59.78755 1.2211781 0.0331982856760196 0.0101099884670546
"e01a44z1s03m0000GP" 0.25 0.44 1 3 "0000GP" 0.25 34 1345.41666666667 67 103 5 0.5048732 3.921492 0.9733226 0.00414989160730876 0.0125478744286258
"e01a44z1s03m0000GP" 0.25 0.44 1 3 "0000GP" 0.75 73 763.75 97 138 3 0.354755 4.364383 1.0121605 0.0105837424986361 0.0125478744286258
"e01a44z1s03m0000GP" 0.25 0.44 1 3 "0000GP" 1.5 127 1385.5 140 261 5 0.3960505 7.024697 1.0658606 0.00842054613256345 0.0125478744286258
"e01a44z1s03m0000GP" 0.25 0.44 1 3 "0000GP" 3.5 539 3993.16666666667 455 844 25 1.4880788 29.93628 1.869622 0.00949538795442214 0.0125478744286258
"e01a44z1s03m0000GP" 0.25 0.44 1 3 "0000GP" 7.5 1200 6203.58333333333 1149 2033 73 5.9855112 66.38724 2.119298 0.0154346278360625 0.0125478744286258
